signal_type,default_recommended_skill,default_recommended_role,status,notes
documentation_drift,improve-project-system,documentation-curator,active,Canonical documentation/source synchronization drift signal.
generated_artifact_drift,improve-project-system,documentation-curator,active,Generated derivative or registry output no longer follows canonical source state.
control_contract_drift,improve-project-system,project-control-maintainer,active,Functional control markdown role schema skill or control-registry surface no longer matches project machinery.
workflow_friction,improve-project-system,project-system-director,active,Repeated or confusing project-system workflow step requiring routing or clarification.
validator_gap,improve-project-system,validator-engineer,active,Deterministic validator coverage or behavior gap.
test_gap,improve-project-system,validator-engineer,active,Missing or insufficient test coverage for project-control behavior.
memory_retrieval_failure,improve-project-system,memory-system-maintainer,active,Memory wiki registry or query retrieval failure.
repeated_manual_step,improve-project-system,memory-system-maintainer,active,Project-system work repeatedly requires a manual step that should be automated or documented.
routing_ambiguity,improve-project-system,project-system-director,active,Ambiguous next role boundary or AgentJob routing.
role_authority_mismatch,improve-project-system,project-system-director,active,Role contract authority does not match required work boundary.
claim_boundary_confusion,improve-project-system,project-system-director,active,Project-control claim boundary is unclear or inconsistently applied.
human_gate_policy_gap,improve-project-system,project-system-director,active,Human approval or gate policy is missing unclear or inconsistent.
